epoch=1 train_loss=1.118678 val_acc=0.554656
epoch=2 train_loss=0.768811 val_acc=0.797571
epoch=3 train_loss=0.564087 val_acc=0.793522
epoch=4 train_loss=0.375129 val_acc=0.821862
epoch=5 train_loss=0.283893 val_acc=0.878543
epoch=6 train_loss=0.289206 val_acc=0.914980
epoch=7 train_loss=0.195737 val_acc=0.850202
epoch=8 train_loss=0.184347 val_acc=0.914980
epoch=9 train_loss=0.162555 val_acc=0.910931
epoch=10 train_loss=0.148534 val_acc=0.894737
epoch=11 train_loss=0.130236 val_acc=0.919028
epoch=12 train_loss=0.102611 val_acc=0.935223
epoch=13 train_loss=0.091285 val_acc=0.927126
epoch=14 train_loss=0.079037 val_acc=0.939271
epoch=15 train_loss=0.073997 val_acc=0.923077
epoch=16 train_loss=0.071917 val_acc=0.939271
epoch=17 train_loss=0.043035 val_acc=0.935223
epoch=18 train_loss=0.044915 val_acc=0.914980
epoch=19 train_loss=0.048399 val_acc=0.931174
epoch=20 train_loss=0.028698 val_acc=0.939271
